facility_id,drug_name,drug_category,nlem_level,quantity_available,unit,last_restocked,stock_status,critical_flag
MP-IND-DH-001,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,76,vials,2026-04-11,IN_STOCK,True
MP-IND-DH-001,Artesunate Injection 60mg,Antimalarial,P,6,vials,2026-03-10,LOW,True
MP-IND-DH-001,Artemether-Lumefantrine Tablets,Antimalarial,P,8,tablets,2026-03-14,LOW,True
MP-IND-DH-001,Chloroquine Phosphate 250mg,Antimalarial,P,162,tablets,2026-04-12,IN_STOCK,False
MP-IND-DH-001,Primaquine 7.5mg,Antimalarial,P,158,tablets,2026-03-12,IN_STOCK,False
MP-IND-DH-001,Dengue NS1 Antigen Test Kit,Diagnostic,P,4,kits,2026-02-27,LOW,True
MP-IND-DH-001,Platelet Rich Plasma,Blood Product,S,4,units,2026-02-21,LOW,True
MP-IND-DH-001,Normal Saline 0.9% (1L),IV Fluid,P,79,bottles,2026-04-07,IN_STOCK,True
MP-IND-DH-001,Ringer Lactate (1L),IV Fluid,P,67,bottles,2026-03-04,IN_STOCK,True
MP-IND-DH-001,ORS Packets (WHO formula),ORS,P,54,packets,2026-03-14,IN_STOCK,True
MP-IND-DH-001,Zinc Sulphate Dispersible 20mg,Micronutrient,P,107,tablets,2026-03-19,IN_STOCK,False
MP-IND-DH-001,Metronidazole 400mg,Antiprotozoal,P,122,tablets,2026-03-05,IN_STOCK,False
MP-IND-DH-001,Amoxicillin 500mg,Antibiotic,P,80,capsules,2026-04-03,IN_STOCK,False
MP-IND-DH-001,Azithromycin 500mg,Antibiotic,P,146,tablets,2026-03-23,IN_STOCK,False
MP-IND-DH-001,Ciprofloxacin 500mg,Antibiotic,P,120,tablets,2026-02-18,IN_STOCK,False
MP-IND-DH-001,Cotrimoxazole Paediatric,Antibiotic,P,146,tablets,2026-04-04,IN_STOCK,False
MP-IND-DH-001,Gentamicin Injection 80mg,Antibiotic,P,91,ampoules,2026-04-08,IN_STOCK,True
MP-IND-DH-001,Ceftriaxone Injection 1g,Antibiotic,S,66,vials,2026-03-01,IN_STOCK,True
MP-IND-DH-001,Oxytocin Injection 5IU,Obstetric,P,84,ampoules,2026-03-25,IN_STOCK,True
MP-IND-DH-001,Misoprostol 200mcg,Obstetric,P,98,tablets,2026-03-17,IN_STOCK,True
MP-IND-DH-001,Magnesium Sulphate Injection 50%,Anticonvulsant,P,2,ampoules,2026-04-08,LOW,True
MP-IND-DH-001,Adrenaline (Epinephrine) 1mg/ml,Emergency,P,87,ampoules,2026-03-10,IN_STOCK,True
MP-IND-DH-001,Hydrocortisone Injection 100mg,Corticosteroid,P,92,vials,2026-03-15,IN_STOCK,True
MP-IND-DH-001,Atropine Sulphate 0.6mg/ml,Anticholinergic,P,34,ampoules,2026-03-05,IN_STOCK,True
MP-IND-DH-001,Paracetamol 500mg,Analgesic,P,134,tablets,2026-02-27,IN_STOCK,False
MP-IND-DH-001,Ibuprofen 400mg,NSAID,P,94,tablets,2026-03-30,IN_STOCK,False
MP-IND-DH-001,Diclofenac Sodium 50mg,NSAID,P,182,tablets,2026-04-17,IN_STOCK,False
MP-IND-DH-001,Salbutamol Inhaler 100mcg,Bronchodilator,P,133,inhalers,2026-03-16,IN_STOCK,False
MP-IND-DH-001,Dexamethasone Injection 4mg,Corticosteroid,P,46,ampoules,2026-02-21,IN_STOCK,True
MP-IND-DH-001,Prednisolone 5mg,Corticosteroid,P,195,tablets,2026-03-10,IN_STOCK,False
MP-IND-DH-001,Metformin 500mg,Antidiabetic,P,161,tablets,2026-02-28,IN_STOCK,False
MP-IND-DH-001,Glimepiride 1mg,Antidiabetic,P,66,tablets,2026-03-10,IN_STOCK,False
MP-IND-DH-001,Amlodipine 5mg,Antihypertensive,P,70,tablets,2026-04-10,IN_STOCK,False
MP-IND-DH-001,Enalapril 5mg,Antihypertensive,P,144,tablets,2026-04-02,IN_STOCK,False
MP-IND-DH-001,Tetanus Toxoid Injection,Vaccine,P,43,doses,2026-04-12,IN_STOCK,True
MP-IND-DH-001,Anti-Tetanus Serum (ATS),Antiserum,P,49,vials,2026-04-09,IN_STOCK,True
MP-IND-DH-001,Anti-Rabies Vaccine (ARV),Vaccine,P,54,doses,2026-04-01,IN_STOCK,True
MP-IND-DH-001,Rabies Immunoglobulin (RIG),Immunoglobulin,S,60,vials,2026-02-17,IN_STOCK,True
MP-IND-DH-001,Activated Charcoal Powder,Antidote,P,58,sachets,2026-03-03,IN_STOCK,True
MP-IND-DH-001,Pralidoxime (PAM) Injection,Antidote,S,80,vials,2026-03-20,IN_STOCK,True
MP-IND-DH-002,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,64,vials,2026-04-03,IN_STOCK,True
MP-IND-DH-002,Artesunate Injection 60mg,Antimalarial,P,9,vials,2026-04-03,LOW,True
MP-IND-DH-002,Artemether-Lumefantrine Tablets,Antimalarial,P,1,tablets,2026-04-03,LOW,True
MP-IND-DH-002,Chloroquine Phosphate 250mg,Antimalarial,P,2,tablets,2026-02-21,LOW,False
MP-IND-DH-002,Primaquine 7.5mg,Antimalarial,P,197,tablets,2026-04-02,IN_STOCK,False
MP-IND-DH-002,Dengue NS1 Antigen Test Kit,Diagnostic,P,49,kits,2026-03-02,IN_STOCK,True
MP-IND-DH-002,Platelet Rich Plasma,Blood Product,S,93,units,2026-04-02,IN_STOCK,True
MP-IND-DH-002,Normal Saline 0.9% (1L),IV Fluid,P,57,bottles,2026-04-11,IN_STOCK,True
MP-IND-DH-002,Ringer Lactate (1L),IV Fluid,P,87,bottles,2026-03-22,IN_STOCK,True
MP-IND-DH-002,ORS Packets (WHO formula),ORS,P,45,packets,2026-04-14,IN_STOCK,True
MP-IND-DH-002,Zinc Sulphate Dispersible 20mg,Micronutrient,P,152,tablets,2026-02-25,IN_STOCK,False
MP-IND-DH-002,Metronidazole 400mg,Antiprotozoal,P,129,tablets,2026-04-05,IN_STOCK,False
MP-IND-DH-002,Amoxicillin 500mg,Antibiotic,P,180,capsules,2026-04-09,IN_STOCK,False
MP-IND-DH-002,Azithromycin 500mg,Antibiotic,P,137,tablets,2026-03-19,IN_STOCK,False
MP-IND-DH-002,Ciprofloxacin 500mg,Antibiotic,P,85,tablets,2026-03-20,IN_STOCK,False
MP-IND-DH-002,Cotrimoxazole Paediatric,Antibiotic,P,91,tablets,2026-04-14,IN_STOCK,False
MP-IND-DH-002,Gentamicin Injection 80mg,Antibiotic,P,34,ampoules,2026-04-12,IN_STOCK,True
MP-IND-DH-002,Ceftriaxone Injection 1g,Antibiotic,S,54,vials,2026-03-22,IN_STOCK,True
MP-IND-DH-002,Oxytocin Injection 5IU,Obstetric,P,84,ampoules,2026-02-19,IN_STOCK,True
MP-IND-DH-002,Misoprostol 200mcg,Obstetric,P,82,tablets,2026-04-01,IN_STOCK,True
MP-IND-DH-002,Magnesium Sulphate Injection 50%,Anticonvulsant,P,69,ampoules,2026-03-21,IN_STOCK,True
MP-IND-DH-002,Adrenaline (Epinephrine) 1mg/ml,Emergency,P,95,ampoules,2026-04-08,IN_STOCK,True
MP-IND-DH-002,Hydrocortisone Injection 100mg,Corticosteroid,P,40,vials,2026-03-11,IN_STOCK,True
MP-IND-DH-002,Atropine Sulphate 0.6mg/ml,Anticholinergic,P,6,ampoules,2026-04-14,LOW,True
MP-IND-DH-002,Paracetamol 500mg,Analgesic,P,16,tablets,2026-03-16,LOW,False
MP-IND-DH-002,Ibuprofen 400mg,NSAID,P,106,tablets,2026-04-14,IN_STOCK,False
MP-IND-DH-002,Diclofenac Sodium 50mg,NSAID,P,86,tablets,2026-02-22,IN_STOCK,False
MP-IND-DH-002,Salbutamol Inhaler 100mcg,Bronchodilator,P,83,inhalers,2026-03-05,IN_STOCK,False
MP-IND-DH-002,Dexamethasone Injection 4mg,Corticosteroid,P,64,ampoules,2026-03-11,IN_STOCK,True
MP-IND-DH-002,Prednisolone 5mg,Corticosteroid,P,86,tablets,2026-03-22,IN_STOCK,False
MP-IND-DH-002,Metformin 500mg,Antidiabetic,P,199,tablets,2026-03-28,IN_STOCK,False
MP-IND-DH-002,Glimepiride 1mg,Antidiabetic,P,118,tablets,2026-03-06,IN_STOCK,False
MP-IND-DH-002,Amlodipine 5mg,Antihypertensive,P,127,tablets,2026-04-01,IN_STOCK,False
MP-IND-DH-002,Enalapril 5mg,Antihypertensive,P,142,tablets,2026-03-19,IN_STOCK,False
MP-IND-DH-002,Tetanus Toxoid Injection,Vaccine,P,42,doses,2026-04-17,IN_STOCK,True
MP-IND-DH-002,Anti-Tetanus Serum (ATS),Antiserum,P,45,vials,2026-04-13,IN_STOCK,True
MP-IND-DH-002,Anti-Rabies Vaccine (ARV),Vaccine,P,49,doses,2026-02-17,IN_STOCK,True
MP-IND-DH-002,Rabies Immunoglobulin (RIG),Immunoglobulin,S,4,vials,2026-03-25,LOW,True
MP-IND-DH-002,Activated Charcoal Powder,Antidote,P,71,sachets,2026-03-09,IN_STOCK,True
MP-IND-DH-002,Pralidoxime (PAM) Injection,Antidote,S,100,vials,2026-04-17,IN_STOCK,True
MP-DEW-DH-003,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,46,vials,2026-02-20,IN_STOCK,True
MP-DEW-DH-003,Artesunate Injection 60mg,Antimalarial,P,46,vials,2026-03-01,IN_STOCK,True
MP-DEW-DH-003,Artemether-Lumefantrine Tablets,Antimalarial,P,59,tablets,2026-03-03,IN_STOCK,True
MP-DEW-DH-003,Chloroquine Phosphate 250mg,Antimalarial,P,133,tablets,2026-03-16,IN_STOCK,False
MP-DEW-DH-003,Primaquine 7.5mg,Antimalarial,P,79,tablets,2026-04-12,IN_STOCK,False
MP-DEW-DH-003,Dengue NS1 Antigen Test Kit,Diagnostic,P,38,kits,2026-04-17,IN_STOCK,True
MP-DEW-DH-003,Platelet Rich Plasma,Blood Product,S,66,units,2026-04-07,IN_STOCK,True
MP-DEW-DH-003,Normal Saline 0.9% (1L),IV Fluid,P,87,bottles,2026-03-13,IN_STOCK,True
MP-DEW-DH-003,Ringer Lactate (1L),IV Fluid,P,0,bottles,2026-04-13,OUT_OF_STOCK,True
MP-DEW-DH-003,ORS Packets (WHO formula),ORS,P,52,packets,2026-03-14,IN_STOCK,True
MP-DEW-DH-003,Zinc Sulphate Dispersible 20mg,Micronutrient,P,12,tablets,2026-03-11,LOW,False
MP-DEW-DH-003,Metronidazole 400mg,Antiprotozoal,P,176,tablets,2026-04-09,IN_STOCK,False
MP-DEW-DH-003,Amoxicillin 500mg,Antibiotic,P,12,capsules,2026-02-19,LOW,False
MP-DEW-DH-003,Azithromycin 500mg,Antibiotic,P,76,tablets,2026-02-19,IN_STOCK,False
MP-DEW-DH-003,Ciprofloxacin 500mg,Antibiotic,P,129,tablets,2026-03-06,IN_STOCK,False
MP-DEW-DH-003,Cotrimoxazole Paediatric,Antibiotic,P,170,tablets,2026-03-09,IN_STOCK,False
MP-DEW-DH-003,Gentamicin Injection 80mg,Antibiotic,P,63,ampoules,2026-02-21,IN_STOCK,True
MP-DEW-DH-003,Ceftriaxone Injection 1g,Antibiotic,S,55,vials,2026-02-20,IN_STOCK,True
MP-DEW-DH-003,Oxytocin Injection 5IU,Obstetric,P,75,ampoules,2026-02-26,IN_STOCK,True
MP-DEW-DH-003,Misoprostol 200mcg,Obstetric,P,64,tablets,2026-03-31,IN_STOCK,True
MP-DEW-DH-003,Magnesium Sulphate Injection 50%,Anticonvulsant,P,81,ampoules,2026-02-21,IN_STOCK,True
MP-DEW-DH-003,Adrenaline (Epinephrine) 1mg/ml,Emergency,P,58,ampoules,2026-02-24,IN_STOCK,True
MP-DEW-DH-003,Hydrocortisone Injection 100mg,Corticosteroid,P,62,vials,2026-04-03,IN_STOCK,True
MP-DEW-DH-003,Atropine Sulphate 0.6mg/ml,Anticholinergic,P,75,ampoules,2026-03-31,IN_STOCK,True
MP-DEW-DH-003,Paracetamol 500mg,Analgesic,P,137,tablets,2026-03-26,IN_STOCK,False
MP-DEW-DH-003,Ibuprofen 400mg,NSAID,P,168,tablets,2026-03-05,IN_STOCK,False
MP-DEW-DH-003,Diclofenac Sodium 50mg,NSAID,P,150,tablets,2026-04-16,IN_STOCK,False
MP-DEW-DH-003,Salbutamol Inhaler 100mcg,Bronchodilator,P,132,inhalers,2026-04-06,IN_STOCK,False
MP-DEW-DH-003,Dexamethasone Injection 4mg,Corticosteroid,P,37,ampoules,2026-04-11,IN_STOCK,True
MP-DEW-DH-003,Prednisolone 5mg,Corticosteroid,P,154,tablets,2026-03-02,IN_STOCK,False
MP-DEW-DH-003,Metformin 500mg,Antidiabetic,P,177,tablets,2026-03-10,IN_STOCK,False
MP-DEW-DH-003,Glimepiride 1mg,Antidiabetic,P,95,tablets,2026-03-24,IN_STOCK,False
MP-DEW-DH-003,Amlodipine 5mg,Antihypertensive,P,114,tablets,2026-04-01,IN_STOCK,False
MP-DEW-DH-003,Enalapril 5mg,Antihypertensive,P,14,tablets,2026-04-17,LOW,False
MP-DEW-DH-003,Tetanus Toxoid Injection,Vaccine,P,58,doses,2026-03-25,IN_STOCK,True
MP-DEW-DH-003,Anti-Tetanus Serum (ATS),Antiserum,P,75,vials,2026-03-09,IN_STOCK,True
MP-DEW-DH-003,Anti-Rabies Vaccine (ARV),Vaccine,P,71,doses,2026-03-16,IN_STOCK,True
MP-DEW-DH-003,Rabies Immunoglobulin (RIG),Immunoglobulin,S,84,vials,2026-03-04,IN_STOCK,True
MP-DEW-DH-003,Activated Charcoal Powder,Antidote,P,86,sachets,2026-03-06,IN_STOCK,True
MP-DEW-DH-003,Pralidoxime (PAM) Injection,Antidote,S,55,vials,2026-03-09,IN_STOCK,True
MP-UJJ-DH-004,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,33,vials,2026-03-29,IN_STOCK,True
MP-UJJ-DH-004,Artesunate Injection 60mg,Antimalarial,P,74,vials,2026-03-19,IN_STOCK,True
MP-UJJ-DH-004,Artemether-Lumefantrine Tablets,Antimalarial,P,98,tablets,2026-03-18,IN_STOCK,True
MP-UJJ-DH-004,Chloroquine Phosphate 250mg,Antimalarial,P,109,tablets,2026-03-06,IN_STOCK,False
MP-UJJ-DH-004,Primaquine 7.5mg,Antimalarial,P,17,tablets,2026-03-06,LOW,False
MP-UJJ-DH-004,Dengue NS1 Antigen Test Kit,Diagnostic,P,63,kits,2026-03-05,IN_STOCK,True
MP-UJJ-DH-004,Platelet Rich Plasma,Blood Product,S,51,units,2026-04-16,IN_STOCK,True
MP-UJJ-DH-004,Normal Saline 0.9% (1L),IV Fluid,P,42,bottles,2026-03-19,IN_STOCK,True
MP-UJJ-DH-004,Ringer Lactate (1L),IV Fluid,P,57,bottles,2026-03-03,IN_STOCK,True
MP-UJJ-DH-004,ORS Packets (WHO formula),ORS,P,64,packets,2026-04-08,IN_STOCK,True
MP-UJJ-DH-004,Zinc Sulphate Dispersible 20mg,Micronutrient,P,67,tablets,2026-02-19,IN_STOCK,False
MP-UJJ-DH-004,Metronidazole 400mg,Antiprotozoal,P,93,tablets,2026-02-27,IN_STOCK,False
MP-UJJ-DH-004,Amoxicillin 500mg,Antibiotic,P,111,capsules,2026-02-25,IN_STOCK,False
MP-UJJ-DH-004,Azithromycin 500mg,Antibiotic,P,198,tablets,2026-03-19,IN_STOCK,False
MP-UJJ-DH-004,Ciprofloxacin 500mg,Antibiotic,P,8,tablets,2026-02-18,LOW,False
MP-UJJ-DH-004,Cotrimoxazole Paediatric,Antibiotic,P,182,tablets,2026-04-09,IN_STOCK,False
MP-UJJ-DH-004,Gentamicin Injection 80mg,Antibiotic,P,73,ampoules,2026-02-28,IN_STOCK,True
MP-UJJ-DH-004,Ceftriaxone Injection 1g,Antibiotic,S,97,vials,2026-03-21,IN_STOCK,True
MP-UJJ-DH-004,Oxytocin Injection 5IU,Obstetric,P,53,ampoules,2026-03-01,IN_STOCK,True
MP-UJJ-DH-004,Misoprostol 200mcg,Obstetric,P,64,tablets,2026-02-23,IN_STOCK,True
MP-UJJ-DH-004,Magnesium Sulphate Injection 50%,Anticonvulsant,P,99,ampoules,2026-03-17,IN_STOCK,True
MP-UJJ-DH-004,Adrenaline (Epinephrine) 1mg/ml,Emergency,P,42,ampoules,2026-03-03,IN_STOCK,True
MP-UJJ-DH-004,Hydrocortisone Injection 100mg,Corticosteroid,P,73,vials,2026-02-19,IN_STOCK,True
MP-UJJ-DH-004,Atropine Sulphate 0.6mg/ml,Anticholinergic,P,62,ampoules,2026-03-24,IN_STOCK,True
MP-UJJ-DH-004,Paracetamol 500mg,Analgesic,P,120,tablets,2026-04-13,IN_STOCK,False
MP-UJJ-DH-004,Ibuprofen 400mg,NSAID,P,150,tablets,2026-03-14,IN_STOCK,False
MP-UJJ-DH-004,Diclofenac Sodium 50mg,NSAID,P,81,tablets,2026-04-04,IN_STOCK,False
MP-UJJ-DH-004,Salbutamol Inhaler 100mcg,Bronchodilator,P,165,inhalers,2026-02-19,IN_STOCK,False
MP-UJJ-DH-004,Dexamethasone Injection 4mg,Corticosteroid,P,35,ampoules,2026-02-22,IN_STOCK,True
MP-UJJ-DH-004,Prednisolone 5mg,Corticosteroid,P,163,tablets,2026-03-18,IN_STOCK,False
MP-UJJ-DH-004,Metformin 500mg,Antidiabetic,P,12,tablets,2026-03-29,LOW,False
MP-UJJ-DH-004,Glimepiride 1mg,Antidiabetic,P,173,tablets,2026-03-14,IN_STOCK,False
MP-UJJ-DH-004,Amlodipine 5mg,Antihypertensive,P,122,tablets,2026-03-17,IN_STOCK,False
MP-UJJ-DH-004,Enalapril 5mg,Antihypertensive,P,177,tablets,2026-03-17,IN_STOCK,False
MP-UJJ-DH-004,Tetanus Toxoid Injection,Vaccine,P,84,doses,2026-03-02,IN_STOCK,True
MP-UJJ-DH-004,Anti-Tetanus Serum (ATS),Antiserum,P,49,vials,2026-03-09,IN_STOCK,True
MP-UJJ-DH-004,Anti-Rabies Vaccine (ARV),Vaccine,P,36,doses,2026-04-12,IN_STOCK,True
MP-UJJ-DH-004,Rabies Immunoglobulin (RIG),Immunoglobulin,S,92,vials,2026-04-06,IN_STOCK,True
MP-UJJ-DH-004,Activated Charcoal Powder,Antidote,P,60,sachets,2026-03-19,IN_STOCK,True
MP-UJJ-DH-004,Pralidoxime (PAM) Injection,Antidote,S,81,vials,2026-03-31,IN_STOCK,True
MP-DHA-DH-005,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,65,vials,2026-02-23,IN_STOCK,True
MP-DHA-DH-005,Artesunate Injection 60mg,Antimalarial,P,9,vials,2026-04-14,LOW,True
MP-DHA-DH-005,Artemether-Lumefantrine Tablets,Antimalarial,P,41,tablets,2026-02-27,IN_STOCK,True
MP-DHA-DH-005,Chloroquine Phosphate 250mg,Antimalarial,P,76,tablets,2026-02-28,IN_STOCK,False
MP-DHA-DH-005,Primaquine 7.5mg,Antimalarial,P,8,tablets,2026-04-05,LOW,False
MP-DHA-DH-005,Dengue NS1 Antigen Test Kit,Diagnostic,P,63,kits,2026-04-09,IN_STOCK,True
MP-DHA-DH-005,Platelet Rich Plasma,Blood Product,S,60,units,2026-03-19,IN_STOCK,True
MP-DHA-DH-005,Normal Saline 0.9% (1L),IV Fluid,P,54,bottles,2026-03-10,IN_STOCK,True
MP-DHA-DH-005,Ringer Lactate (1L),IV Fluid,P,47,bottles,2026-02-27,IN_STOCK,True
MP-DHA-DH-005,ORS Packets (WHO formula),ORS,P,46,packets,2026-03-11,IN_STOCK,True
MP-DHA-DH-005,Zinc Sulphate Dispersible 20mg,Micronutrient,P,10,tablets,2026-03-12,LOW,False
MP-DHA-DH-005,Metronidazole 400mg,Antiprotozoal,P,162,tablets,2026-03-23,IN_STOCK,False
MP-DHA-DH-005,Amoxicillin 500mg,Antibiotic,P,116,capsules,2026-04-13,IN_STOCK,False
MP-DHA-DH-005,Azithromycin 500mg,Antibiotic,P,128,tablets,2026-04-11,IN_STOCK,False
MP-DHA-DH-005,Ciprofloxacin 500mg,Antibiotic,P,143,tablets,2026-02-22,IN_STOCK,False
MP-DHA-DH-005,Cotrimoxazole Paediatric,Antibiotic,P,96,tablets,2026-02-26,IN_STOCK,False
MP-DHA-DH-005,Gentamicin Injection 80mg,Antibiotic,P,77,ampoules,2026-03-14,IN_STOCK,True
MP-DHA-DH-005,Ceftriaxone Injection 1g,Antibiotic,S,97,vials,2026-03-07,IN_STOCK,True
MP-DHA-DH-005,Oxytocin Injection 5IU,Obstetric,P,95,ampoules,2026-04-11,IN_STOCK,True
MP-DHA-DH-005,Misoprostol 200mcg,Obstetric,P,91,tablets,2026-03-03,IN_STOCK,True
MP-DHA-DH-005,Magnesium Sulphate Injection 50%,Anticonvulsant,P,99,ampoules,2026-03-07,IN_STOCK,True
MP-DHA-DH-005,Adrenaline (Epinephrine) 1mg/ml,Emergency,P,94,ampoules,2026-03-19,IN_STOCK,True
MP-DHA-DH-005,Hydrocortisone Injection 100mg,Corticosteroid,P,67,vials,2026-03-28,IN_STOCK,True
MP-DHA-DH-005,Atropine Sulphate 0.6mg/ml,Anticholinergic,P,44,ampoules,2026-03-31,IN_STOCK,True
MP-DHA-DH-005,Paracetamol 500mg,Analgesic,P,128,tablets,2026-02-28,IN_STOCK,False
MP-DHA-DH-005,Ibuprofen 400mg,NSAID,P,163,tablets,2026-03-27,IN_STOCK,False
MP-DHA-DH-005,Diclofenac Sodium 50mg,NSAID,P,11,tablets,2026-04-06,LOW,False
MP-DHA-DH-005,Salbutamol Inhaler 100mcg,Bronchodilator,P,156,inhalers,2026-02-25,IN_STOCK,False
MP-DHA-DH-005,Dexamethasone Injection 4mg,Corticosteroid,P,68,ampoules,2026-03-13,IN_STOCK,True
MP-DHA-DH-005,Prednisolone 5mg,Corticosteroid,P,7,tablets,2026-04-12,LOW,False
MP-DHA-DH-005,Metformin 500mg,Antidiabetic,P,170,tablets,2026-03-17,IN_STOCK,False
MP-DHA-DH-005,Glimepiride 1mg,Antidiabetic,P,127,tablets,2026-03-04,IN_STOCK,False
MP-DHA-DH-005,Amlodipine 5mg,Antihypertensive,P,191,tablets,2026-03-20,IN_STOCK,False
MP-DHA-DH-005,Enalapril 5mg,Antihypertensive,P,89,tablets,2026-03-30,IN_STOCK,False
MP-DHA-DH-005,Tetanus Toxoid Injection,Vaccine,P,72,doses,2026-03-06,IN_STOCK,True
MP-DHA-DH-005,Anti-Tetanus Serum (ATS),Antiserum,P,100,vials,2026-03-26,IN_STOCK,True
MP-DHA-DH-005,Anti-Rabies Vaccine (ARV),Vaccine,P,75,doses,2026-03-26,IN_STOCK,True
MP-DHA-DH-005,Rabies Immunoglobulin (RIG),Immunoglobulin,S,65,vials,2026-04-03,IN_STOCK,True
MP-DHA-DH-005,Activated Charcoal Powder,Antidote,P,48,sachets,2026-03-01,IN_STOCK,True
MP-DHA-DH-005,Pralidoxime (PAM) Injection,Antidote,S,56,vials,2026-04-05,IN_STOCK,True
MP-KHA-DH-006,Polyvalent Anti-Snake Venom (ASV),Antivenom,P,100,vials,2026-03-10,IN_STOCK,True
MP-KHA-DH-006,Artesunate Injection 60mg,Antimalarial,P,57,vials,2026-03-30,IN_STOCK,True
MP-KHA-DH-006,Artemether-Lumefantrine Tablets,Antimalarial,P,34,tablets,2026-03-03,IN_STOCK,True
MP-KHA-DH-006,Chloroquine Phosphate 250mg,Antimalarial,P,136,tablets,2026-04-15,IN_STOCK,False
MP-KHA-DH-006,Primaquine 7.5mg,Antimalarial,P,140,tablets,2026-03-04,IN_STOCK,False
MP-KHA-DH-006,Dengue NS1 Antigen Test Kit,Diagnostic,P,95,kits,2026-04-11,IN_STOCK,True
MP-KHA-DH-006,Platelet Rich Plasma,Blood Product,S,93,units,2026-03-18,IN_STOCK,True
MP-KHA-DH-006,Normal Saline 0.9% (1L),IV Fluid,P,39,bottles,2026-04-01,IN_STOCK,True
MP-KHA-DH-006,Ringer Lactate (1L),IV Fluid,P,41,bottles,2026-03-23,IN_STOCK,True
MP-KHA-DH-006,ORS Packets (WHO formula),ORS,P,39,packets,2026-04-08,IN_STOCK,True
MP-KHA-DH-006,Zinc Sulphate Dispersible 20mg,Micronutrient,P,143,tablets,2026-04-12,IN_STOCK,False
